"filename", "language", "TypeScript", "Less", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/amscd.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/autoload.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/bbox.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/boldsymbol.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/braket.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/bussproofs.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/cancel.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/color.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/colorV2.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/configMacros.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/enclose.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/extpfeil.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/html.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/mhchem.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/newcommand.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/noerrors.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/noundefined.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/physics.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/require.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/tagFormat.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/textmacros.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/unicode.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/verb.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/mathmaps/de.js", "JavaScript", 0, 0, -103, 0, 0, 0, -2, -105
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/mathmaps/en.js", "JavaScript", 0, 0, -109, 0, 0, 0, -2, -111
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/mathmaps/es.js", "JavaScript", 0, 0, -103, 0, 0, 0, -2, -105
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/mathmaps/fr.js", "JavaScript", 0, 0, -103, 0, 0, 0, -2, -105
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/mathmaps/mathmaps_ie.js", "JavaScript", 0, 0, -517, 0, 0, 0, -2, -519
